血液ガス分析の正常値はPaO2が{{c1::80}}～{{c1::100}}Torr，PaCO2が{{c1::40}}±{{c1::5}}Torr．	
ベラパミル禁忌となる病態を選べ ・WPW症候群で順行性の房室回帰頻拍を生じた ・WPW症候群で逆行性の房室回帰頻拍を生じた ・WPW症候群にAFを合併し、VTとかVFになった	以下はベラパミル禁忌。 ・WPW症候群で逆光性の房室回帰頻拍を生じた ・WPW症候群にAFを合併し、VTとかVFになった
分娩時に起こりうる胎児の損傷 {{c1::鎖骨}}骨折は分娩損傷の骨折の中でも頻度が高い． 分娩損傷による末梢神経損傷として，{{c1::腕神経叢}}麻痺，{{c1::横隔神経}}麻痺などが起こりやすい．{{c1::顔面神経}}麻痺も起こりうる。	
造影CTの禁忌 ①{{c1::ヨード}}過敏 ②重篤な{{c1::甲状腺}}疾患 ③{{c1::喘息}} ④{{c1::腎機能}}低下 ⑤{{c1::ビグアナイド系糖尿病}}薬内服中 ⑥{{c1::褐色細胞腫}}	
{{c1::ACE阻害}}薬は，薬剤性血管性浮腫の原因となる代表的な降圧薬である．喉頭浮腫から{{c1::気道狭窄}}を起こすことが多いため，まず優先するのは喉頭浮腫の{{c1::状態確認}}と{{c1::気道}}確保である．呼吸困難の訴えや喘鳴がみられ気道狭窄が疑われる症例では，咽頭に異常がみられなくても必ず{{c1::喉頭}}所見を確認する．	
アレルギー物質で表示が義務付けられている食品は	卵， 乳， 小麦，えび， 落花生， そば， かに
軟性白斑 ・{{c1::高血圧性網膜}}症 ・{{c1::前増殖}}、{{c1::増殖糖尿病網膜}}症 ・{{c1::膠原病}} ・{{c1::網膜静脈閉塞}}症	
死体を検案し，異状を認めたときは{{c1::24時間以内}}に{{c1::所轄の警察署}}に届け出る（『{{c1::医師}}法』）．	
{{c1::口腔アレルギー}}症候群は{{c2::花粉}}に感作された患者が{{c2::果物}}や{{c2::野菜}}によって口腔内のアレルギー症状（違和感，しびれ，かゆみなど）を起こす疾患である．{{c1::口腔内アレルギー}}症候群は{{c2::幼児}}期から{{c2::成人}}期に発症する．	リンゴとか桃が多いらしい。
PTHの作用 ・{{c1::骨吸収}}促進 ・{{c1::活性型Vit. D産生}}促進 また、腎にて ・Ca{{c1::再吸収}}促進 ・P{{c1::排泄}}促進 ・HCO3-{{c1::排泄}}促進 トータルで ・血中Ca{{c1::↑}} ・血中P{{c1::↓}} ・血液を{{c1::酸}}性に傾ける	
活性化Vit. Dは{{c1::腸管}}でCa, Pの{{c1::吸収}}を促進。	
続発性副甲状腺機能亢進症の原因は{{c1::腎不全}}である。	国試はこれ一本で覚える。
続発性副甲状腺機能亢進症は、PTH{{c1::↑}}、Ca{{c1::↓~→}}、P{{c1::↑}}。	腎不全でVit. Dが活性化できず、Caが下がる。代償性にPTHが分泌される。正常であればPTHに反応してPは下がるが、この場合腎臓がダメなので、Pはむしろ上がる。
HLA B{{c2::27}} {{c1::強直性脊椎炎}} B{{c2::51}}　{{c1::bachet}} B{{c2::52}} {{c1::UC, 高安病}} B{{c2::54}} {{c1::DPB}} {{c2::DR2}}：{{c1::ナルコレプシー }} {{c2::DR4}}：関節リウマチ，{{c1::自己免疫性肝炎, 原田病 }} {{c2::DR8}}：{{c1::原発性胆汁性胆管炎}}	
眼が青い系青色強膜２つ Kayser-fleisher角膜輪は	marfan, 骨形成不全 wilson
前立腺肥大症が基礎疾患にある症例では，総合感冒薬が抗ヒスタミン薬を含有している場合，{{c1::抗コリン}}作用により{{c1::膀胱利尿筋が弛緩}}し，排尿障害をきたすことがある	
{{c1::交感神経α1}}受容体は刺激により内尿道括約筋が{{c2::収縮}}する	
シュウ酸カルシウム結石の再発予防のために、一定量のカルシウム摂取が推奨されている理由を述べよ。	カルシウムは腸管内でシュウ酸と結合し糞便中にシュウ酸を排泄させることでシュウ酸の吸収を抑制する.よって過度のカルシウム制限はシュウ酸カルシウム結石形成の原因となるため.
クエン酸製剤がシュウ酸カルシウム結石に有効である理由を述べよ。	クエン酸は尿中でカルシウムイオンとキレート結合して可溶性錯塩を形成することでシュウ酸カルシウム結石形成のリスクを下げるため．
気胸は打診では{{c1::鼓}}音を呈する	
声門閉鎖不全があると{{c1::最長発声持続}}時間が{{c1::短}}くなる．嗄声の問診の段階で行っておくべき検査と考えられる．	
眼窩を構成する骨	上顎骨・口蓋骨・頰骨・前頭骨・蝶形骨・篩骨・涙骨
咽頭結膜熱と流行性角結膜炎は アデノウイルス何番 発熱あるか 潜伏期間：症状の長さは	3 8 あり　なし 1w:3-4d 1w:2-3w
はい全部同定して	A　正常 Ad耳小骨連鎖離断　めっちゃ動く As耳硬化症　動きにくい B 滲出性中耳炎　陰圧 C 耳管狭窄（滲出性中耳炎）
眼振の向きは急速相か緩徐相か	急速相
{{c1::交感神経β3}}受容体は刺激により排尿筋が{{c2::弛緩}}する	
排尿筋は{{c1::副交感神経}}刺激により{{c2::収縮}}する。	
腎細胞癌の古典的三徴 ・{{c1::肉眼的血尿}} ・{{c1::腰背部痛}} ・{{c1::腹部腫瘤}}	
大腸菌感染症に対する抗菌薬 尿路感染症 ・{{c1::第2, 第3世代セフェム}} ・{{c1::ニューキノロン}} 胆道感染症 ・{{c1::第2, 第3世代セフェム}} ・{{c1::ピペラシリン・タゾバクタム}}	
{{c1::2008}}年の国際移植学会による{{c1::イスタンブール}}宣言により、国内の臓器移植の推進が求められる中、{{c1::2010}}年7月17日「改正臓器移植法」が全面施行され、{{c1::本人の意思が不明}}な場合にも、{{c1::家族の承諾}}があれば脳死後の臓器提供ができることとなりました。 このことにより、{{c1::15}}歳未満であっても脳死後の臓器提供が可能となり、小さなからだの子どもたちの心臓や肺の移植の道が開かれました。 『日本臓器移植ネットワーク』Webページより	2009年に公布https://www.jotnw.or.jp/explanation/01/04/
禁煙治療は公的医療保険の対象に{{c1::なる}}．	
Friedman曲線は，分娩開始からの時間経過(x軸)と{{c1::子宮口開大}}度(y軸左)，{{c1::児頭下降}}度(y軸右)の標準的な関係をグラフにしたものである．	
{{c1::ケトン性低血糖症}}は小児期の{{c2::血糖維持}}機構の未熟や、{{c2::糖新生}}の気質不足により、{{c2::空腹}}時にケトン血症を伴う低血糖発作を来す疾患。	
{{c1::SH}}基をもつ薬剤（{{c1::チアマゾール}}など）や{{c1::α-リポ酸}}を含むサプリメント等を内服していると，{{c2::インスリン自己}}抗体を産生することがある．抗体の結合率が高いと，{{c2::インスリン自己免疫症候群}}を発症することがある．	インスリンに対する自己抗体ができる。インスリンと自己抗体が結合する。インスリンと自己抗体は結合がガバガバであり、たまに外れる。外れた瞬間低血糖になる。 α-リポ酸（たまにSがSHになっちゃうらしい）
ST上昇型の心筋梗塞の心電図変化を、時間軸も含めて説明せよ。	超初期はT波増高から始まる。その後STが上昇。大体数時間で異常Q波が発生する（これはずっと続く∵対側心筋の電位を観測しているため）。1日~1週間にかけてSTが落ち着き。T波が逆転。数ヶ月するとT波が回復してくる。
赤沈亢進、CRP正常 ・急性炎症{{c1::回復}}期 ・{{c1::貧血}} ・{{c1::グロブリン}}↑、{{c1::アルブミン}}↓、{{c1::フィブリノゲン}}↑な状態（具体例は別カードにて）	
グロブリン↑、アルブミン↓、フィブリノゲン↑な状態では赤沈亢進、CRP正常となりうる。 具体的な例としては、 グロブリン↑ ・{{c1::多発性骨髄腫}} ・{{c1::原発性マクログロブリン血症}} ・{{c1::慢性甲状腺炎}} フィブリノゲン↑ ・{{c1::妊娠}} ・{{c1::高フィブリノゲン血症}}	原発性マクログロブリン血症以外出題歴あり。なんてこった。
赤沈遅延 ・{{c1::赤血球増加症}} ・{{c1::グロブリン}}↓、{{c1::フィブリノゲン}}↓な状態など 例えば、{{c1::無フィブリノゲン血症}}・{{c1::DIC}}	
{{c1::Prader-Willi}}症候群の4徴 ・{{c2::筋緊張低下}} ・{{c2::性腺発育不全}} ・{{c2::知的障害}} ・{{c2::肥満}}	四徴の頭文字をとってHHHO症候群ともいわれる． Hypotonia Hypogonadism Hypomentia Obesity
悪性新生物の死亡率 男性 1. {{c1::肺癌}} 2. {{c1::胃癌}} 3. {{c1::大腸癌}} 女性 1. {{c1::大腸癌}} 2. {{c1::肺癌}} 3. {{c1::胃癌}}	
悪性新生物の罹患率 男性 1. {{c1::胃癌}} 2. {{c1::大腸癌}} 3. {{c1::肺癌}} 女性 1. {{c1::乳がん}} 2. {{c1::大腸癌}} 3. {{c1::胃癌}}	
悪性新生物の死亡数男女合計8位まで。	肺癌 大腸癌 胃癌 膵癌 肝癌 胆嚢癌 乳癌 前立腺癌
悪性新生物の罹患数男女合計5位まで	大腸癌 胃癌 肺癌 乳癌 前立腺癌
介護保険の被保険者は{{c1::40}}歳以上の者である．	
{{c1::自己免疫性溶血性貧血}}は、{{c2::自己の赤血球膜抗原}}に対する抗体（抗{{c2::赤血球}}抗体）が生じ，抗原抗体反応により{{c2::赤血球膜}}が変化を受け，補体・貪食細胞などによる{{c2::赤血球}}融解を来す疾患である．{{c2::Ⅱ}}型アレルギーによる．	後天性溶血性貧血で最も頻度が高い．
{{c1::Goodpasture症候群}}は、抗{{c2::基底膜}}抗体（抗{{c2::GBM}}抗体）が存在し，{{c2::急速進行性糸球体腎炎}}と{{c2::びまん性肺胞出血}}を特徴とする自己免疫疾患（{{c2::Ⅱ}}型アレルギー）	
ITPは{{c1::II}}型アレルギー	
高Ca血症ではQTは{{c1::短縮}}する。	
低Ca血症ではQTは{{c1::延長}}する。	
肺{{c2::扁平上皮}}癌は{{c1::PTHrP}}を産生することにより，腫瘍随伴症候群として{{c1::高カルシウム血症}}を起こすことがある．	
対麻痺とは何か？	両側下肢の運動麻痺のことである。
上腸間膜動脈塞栓症の治療は？	緊オペで壊死腸管を切る。 安静，絶食，輸液、血栓溶解薬，血管拡張薬の投与なども。
涙路を順番に述べよ	
光化学オキシダントの主成分は{{c1::オゾン}}， {{c1::NOx}} ， {{c1::揮発性有機化合物}}である．	
児童虐待の通告は{{c1::福祉事務所}}あるいは{{c1::児童相談所}}に行う	
異所性AVP産生腫瘍(→SIADH)として代表的なものは？	肺小細胞癌、膵癌 前者は出題歴あり。後者はなし。
地域包括支援センターは{{c1::高齢者}}虐待に対応するが、{{c1::児童}}虐待には対応しない。	
骨粗鬆症にPTHの持続投与が有効である理由を述べよ。	PTHは骨吸収・骨形成をともに亢進させる．PTHの持続高値（原発性副甲状腺機能亢進症など）では骨吸収＞骨形成となり骨量は減少し骨粗鬆症の原因となるが，間欠的なPTH投与では骨吸収＜骨形成となり骨粗鬆症の治療として用いられる．
糖代謝異常合併妊娠における新生児合併症として、 ・{{c1::低}}血糖 ・{{c1::RDS}} ・{{c1::低Ca}}血症 ・{{c1::高Bil}}血症 などがある。	
扁平苔癬は{{c1::薬剤誘発}}性の場合が多いほか，{{c1::金属アレルギー}}，化学薬品({{c1::カラーフィルム現像液}}など)，{{c1::C型肝炎}}との関連性が示唆されている。また{{c1::造血幹細胞移植}}後の{{c1::慢性GVHD}}の症状としてしばしば扁平苔癬のような皮疹が出現する。	
未成年者の喫煙を禁止している法律は『{{c1::未成年者喫煙禁止}}法』である．	
式。 児頭大横径(BPD)＝妊娠週数{{c1::÷4}} (cm)	
マクロファージが出すサイトカイン	IL-1, IL-6, IL-8, IL-12, TNF-α
Th1が出すサイトカイン	IL2, IFN-γ
Th2が出すサイトカイン	IL-4, IL-5, IL-13
橋本病は{{c1::II}}型アレルギー	
全身性エリテマトーデスは{{c1::III}}型アレルギーである。	II型の側面もある。
急性糸球体腎炎は{{c1::III}}型アレルギーである。	
IgA血管炎は{{c1::III}}型アレルギーである。	
クリオグロブリン血症は{{c1::III}}型アレルギーである。	
血清病とは{{c1::異種抗血清}}など異種タンパク投与後{{c1::1~2週間}}で出現する、{{c1::III}}型アレルギー反応による免疫複合病である。	
GVHDは{{c1::IV}}型アレルギーである。	
Arthus反応で{{c1::III}}型アレルギーを調べることができる。	
過敏性肺炎は{{c1::III + IV}}型アレルギー	
食物依存性運動誘発アナフィラキシーの代表的な原因食物	小麦、甲殻類
食物アレルギーのうちIgE非依存型のものは、{{c1::新生児・乳児消化管アレルギー}}である。	
血管性浮腫の原因となる遺伝性疾患といえば	C1インヒビター欠損症。 治療はC1インヒビターを補充する。
{{c1::Gitelman}}症候群では{{c2::遠位尿細管}}で{{c2::Na+-Cl-共輸送体}}が障害される。	
{{c1::Bartter}}症候群では{{c2::Henle上行脚}}で{{c2::Na+-K+-2Cl-共輸送体}}が障害される。	
偽性Bartter症候群とは何か？	痩せる目的で利尿薬（特にループ利尿薬）や下剤の乱用、あるいは慢性的な下痢や嘔吐などにより、Bartter症候群と同様の症状を呈する症候群。
新生児・乳幼児から発症しうるのはBartterとGitelmanのどちら？	Bartter
高Ca血症の治療に用いられるのはフロセミドorサイアザイド？	フロセミド
高Ca血症の原因となるのはフロセミドorサイアザイド？	サイアザイド
奇脈といえば	心タンポ、収縮性心膜炎、気管閉塞、重症喘息 呼気の収縮期血圧が吸気より10以上高い
肺。PAS染色。病原体は？	クリプトコックス。クリプトコックスに特徴的な、赤紫色に染まる莢膜を持つ丸い菌体を認める。
肺。Grocott染色。病原体は？	クリプトコックス。グロコット染色で黒く染まり、やや大小不同のある円形構造を示す。肉芽腫性病変をつくり異物巨細胞内にも菌がみられる。 http://www.jichi.ac.jp/usr/path/exam/docs/088.html
クリプトコックスに対する薬。肺と髄膜炎それぞれ	肺 フルコナゾール or イトラコナゾール (iv or oral) 髄膜炎 アムホテリシンB (iv) + フルシトシン (oral)併用 その後フルコナゾール(oral)で維持。
心筋梗塞の急性期の合併症として{{c1::ポンプ失調}}，{{c1::不整脈}}，{{c1::機械的合併症}}(緊急開心術の適応)がある．{{c1::右心不全}}，{{c1::洞不全症候群}}，{{c1::房室ブロック}}，{{c1::乳頭筋断裂}}はRCAの閉塞で，それ以外はLADの閉塞で起こりやすい．	ポンプ失調: 左心不全，右心不全 不整脈: VT，VF，洞不全症候群，房室ブロック
急性心筋梗塞の機械的合併症には、{{c1::心破裂}}、{{c1::心室中隔穿孔}}、{{c1::乳頭筋断裂}}があり、対応は{{c1::緊急開心術}}である。	
心筋梗塞後心膜炎には2つの型がある。早期(12h~10d)に出現する型と発症後2w~6wで出現する型である。後者を{{c1::Dressler症候群}}という。後者は{{c1::ステロイド}}が効く。	
心室瘤は急性心筋梗塞後{{c1::数週}}~{{c1::数ヶ月}}でみられ、心電図で{{c1::ST上昇}}が特徴的である。	
心筋梗塞のST上昇は通常{{c1::1週間}}もすれば元へ戻る。戻らない場合は{{c1::心室瘤}}を疑う。	
これはなに？	吸引嘴管（きゅういんしかん）：鼻腔や上咽頭に貯留した鼻汁の吸引に用いる．
これはなに？	フレンケル型の舌圧子：舌背をおさえて口蓋垂・口蓋扁桃の観察を行う．
胎児発育不全は日本人正期産・健常児の胎内発育曲線の－{{c1::1.5}}SDを下回るものと定義されており，その発育曲線は妊娠{{c1::18}}週以降について作成されている．	
リンの正常値は{{c1::3.5}}～{{c1::4.5}} mg/dLくらい。	
ALP3（骨性）は{{c1::骨新生}}を反映する。	
骨粗鬆症 Ca{{c1::→}}、P{{c1::→}}、ALP{{c1::→}}	原則的に全て正常。
骨軟化症の診断基準 大項目 a){{c1::低リン}}血症、または{{c1::低カルシウム}}血症 b){{c1::高骨型アルカリホスファターゼ}}血症 小項目 c) 臨床症状: {{c1::筋力低下}}、または{{c1::骨痛}} d) 骨密度: 若年成人平均値(YAM)の 80%未満 e) 画像所見: 骨シンチグラフィーでの肋軟骨などへの多発取り込み、または単純 X 線像での Looser’s zone 1) 骨軟化症 大項目 2 つと小項目の 3 つをみたすもの 2) 骨軟化症の疑い 大項目 2 つと小項目の 2 つをみたすもの	http://jsbmr.umin.jp/guide/pdf/ricketsmanual2015.pdf
成人における非遺伝性の骨軟化症は，{{c1::ビタミンD作用}}障害，{{c1::線維芽細胞増殖因子23（FGF23）}}過剰による腎からの{{c1::リン}}喪失，稀に成人発症{{c1::Fanconi症候群}}（尿細管障害）などにより発症する．	腫瘍がFGF23出すことがある。 Fanconiが骨軟化症になりうるのは、Pの再吸収がダメになるから。
{{c1::FGF23}}は{{c2::骨}}細胞から分泌される因子で，{{c2::腎臓の近位尿細管}}に作用して{{c2::リン再吸収}}を抑制し過剰な{{c2::リン}}を体外に排出することで生体内{{c2::リン}}の恒常性を維持している．	
慢性的なP欠乏により骨の石灰化障害が生じ，{{c1::骨軟化症}}をきたす．骨芽細胞の{{c1::骨型ALP}}活性は代償的に亢進し，著明な高{{c1::ALP}}血症を呈することが多い．	
亜急性脊髄連合変性症は{{c1::後索}}と{{c1::側索}}（特に{{c1::錐体路}}）が障害される。	
血管肉腫は{{c1::高齢}}者の{{c1::頭部}}、{{c1::顔面}}に好発し、不明瞭な{{c1::暗赤紫紅斑}}と血疱、{{c1::易出血}}性隆起局面を形成する。	
血管肉腫は{{c1::血管内皮細胞}}あるいは{{c1::リンパ管内皮細胞}}の増殖による悪性腫瘍。	
血管肉腫は血行性に{{c1::肺}}に転移しやすい。	
メトトレキサートの禁忌 ・{{c1::妊娠希望}} ・{{c1::授乳婦}} ・{{c1::骨髄抑制}} ・慢性{{c1::肝}}疾患 ・{{c1::腎障害}} ・重篤な{{c1::感染症}}（{{c1::活動性結核}}など） ・{{c1::胸水}}・{{c1::腹水}}を認める場合	
二次性の再生不良性貧血の原因	1) 薬剤（クロラムフェニコール、メトトレキサートなど） 2) 化学物質（ベンゼンなど） 3) 放射線 4) 妊娠 クロラムフェニコールとベンゼンは出題歴がある。 MTXについては111A7の解説に記載あり。
原発性の心臓悪性腫瘍は予後{{c1::不良}}	
思考途絶は{{c1::統合失調症}}に見られる。	
{{c2::インフリキシマブ}}は{{c1::TNF-α}}阻害薬	
関節リウマチで陽性になる自己抗体	RF、抗CCP抗体 MMP-3は抗体ではないけど、重症度評価に使う
悪性関節リウマチの概念と特徴	長期RA罹患者に多い疾患で、悪性関節リウマチ = 関節リウマチ+血管炎 と考えれば良い。 血中の補体が下がる(RAでは血中補体↑、関節液補体↓)。治療は抗リウマチ薬にステロイドを加える。
Felty症候群の概念と特徴	RA長期罹患者に好発する疾患で、 Felty症候群 = RA + 白血球減少(neu < 2000) + 脾腫を伴う汎血球減少 血中補体↓（RAでは血中補体↑、関節液補体↓） 炎症なのに、白血球↓、血小板↓ RBCも下がる。
SLEの活動性を反映する血液検査指標は？	dsDNA抗体、血清補体価（SLEでは補体が下がる）
SLEの代表的な合併症は？	感染症・抗リン脂質抗体症候群・Sjogren症候群・AIHA
抗リン脂質抗体症候群では{{c1::APTT}}が延長する。	
強皮症の抗体は？	全身性 抗Scl-70抗体 = 抗トポイソメラーゼ抗体 限局性 抗セントロメア抗体
強皮症腎に特異性の高い抗体は？	抗RNAポリメラーゼIII抗体
強皮症の主な死因	1. 肺繊維症による呼吸不全 2. 心不全 3. 不整脈による突然死 4. 腎不全
CREST症候群とは？	Calcinosis（皮下石灰沈着） Raynoud現象 Esophageal dysfunction (食道蠕動低下) Sclerodactylia (皮膚硬化) Telangiectasia (毛細血管拡張) の5徴を呈する限局型強皮症の亜型である。
多発筋炎/皮膚筋炎でみられる抗体は？	抗Jo-1抗体: PMに多い。ほぼ全例に間質性肺炎 (抗Jo-1抗体 ⊂ 抗ARS抗体) 抗TIF-γ抗体: DMを呈する、悪性腫瘍のリスクが高い 抗Mi-2抗体: 間質性肺炎と悪性腫瘍のリスク↓、ステロイド効きやすい 抗MDA5抗体: 筋症状を欠くclinically amyopathic DM(CADM)を呈する。予後不良の間質性肺炎を認める。
MCTDの診断基準 I. 共通所見(どれか一つ) 1. {{c1::Raynaud現象(ほぼ必発)}} 2. {{c1::指または手背の腫脹(ソーセージ様手指)}} 3. {{c1::肺高血圧}} II. 免疫学的所見（必ず満たす必要あり） 1. {{c1::抗U1-RNP抗体陽性}} III. 混合所見 (A, B, Cのうち2項目以上につきそれぞれ1所見以上) A. {{c1::SLE}}様所見 1. 多発関節炎 2. リンパ節腫脹 3. {{c1::顔面紅斑}} 4. 心膜炎or胸膜炎 5. {{c1::白血球}}↓ or 血小板↓ B. {{c1::SSc}}様所見 1. 手指に限局した皮膚硬化 2. {{c1::肺繊維症}}, 肺拘束性換気障害 or 肺拡散能低下 3. 食道蠕動運動低下または拡張 C. {{c1::PM}}様所見 1. {{c1::筋力低下}} 2. 筋原性酵素(CKなど)↑ 3. {{c1::筋電図における筋原性異常所見}}	
小脈・遅脈といえば？	AS
大脈・速脈といえば？	AR, PDA
二峰性脈といえば？	閉塞性肥大型心筋症
交互脈といえば？	重度の心不全（左心機能の著しい低下を反映している）
結節性硬化症の三徴	顔面血管繊維種 知的障害 てんかん
Sturge-Weber病の三徴	顔面一側の広範な単純性血管腫 脳内軟膜血管腫による神経症状 脈絡膜血管病変による眼症状(緑内障)
Wiskott-Aldrich症候群の三徴	・血小板減少 ・難治性アトピー様湿疹 ・易感染性
急性胆管炎、Charcotの三徴	・発熱 ・右季肋部痛 ・黄疸
急性胆管炎　Reynoldsの五徴	・発熱 ・右季肋部痛 ・黄疸 ・ショック ・意識障害
褐色細胞腫の5H	・Hypertension 高血圧 ・Hypermetabolism 代謝亢進 ・Hyperglycemia 高血糖 ・Headache 頭痛 ・Hyperhidrosis 多汗
心タンポナーデ Beckの三徴	・頸静脈怒張 ・心音↓ ・低血圧
インスリノーマのWhippleの三徴	・空腹時または運動時の低血糖症状 ・その時の血糖値が50mg/dL以下 ・ブドウ糖投与による症状の改善 診断的価値が高い
Basedow病のMerseburg三徴	・甲状腺腫 ・眼球突出 ・頻脈
下部尿路結石の三徴	・血尿 ・疼痛 ・排尿異常
Wilson病の古典的三徴	・肝硬変 ・錐体外路症状 ・Kayser-Fleischer角膜輪
McCune-Albright症候群の三主徴	・思春期早発症 ・カフェオレ斑 ・多発性の繊維性骨異形成
反応性関節炎（Reiter症候群）の三徴 + 1	・関節炎 ・結膜炎 ・尿道炎 + ・腱付着部炎 クラミジアとの関連！
神経梅毒の三徴	・下肢の電撃痛 ・Westphal徴候（=膝蓋腱反射消失） ・Argyll Robertson瞳孔
側頭動脈炎がヤバい理由	その日のうちに失明しうるから
{{c1::側頭動脈炎}}の約半数に{{c2::リウマチ性多発筋痛症}}を合併する。	
リウマチ性多発筋痛症は、血液検査で赤沈・CRP{{c1::上昇}}，RF・抗核抗体・ANCA{{c1::陰}}性，{{c1::CK}}正常．X線で骨破壊像({{c1::−}})．{{c1::ステロイド}}が奏功。	
ベーチェット病の4主徴	再発性口腔内アフタ 皮膚病変 外陰部潰瘍 眼病変
安静で悪化、運動で改善する腰背部のこわばりといえば	強直性脊椎炎
T細胞もB細胞もどちらもダメな原発性免疫不全症3つ	重症複合型免疫不全症 Wiskott-Aldrich症候群 毛細血管拡張性失調症
毛細血管拡張性運動失調症の三徴	進行性小脳失調 眼球結膜・皮膚の毛細血管拡張 気道感染の反復
T細胞がダメな原発性免疫不全症1つ	DiGeorge症候群
B細胞がダメな原発性免疫不全症1つ	X連鎖無γ-グロブリン血症
SSPEは{{c1::性格変化}}，{{c1::知能低下}}，{{c1::ミオクローヌスてんかん}}が初発となることが多い．	
HUSの三主徴	溶血性貧血 血小板減少 急性腎不全
大動脈内バルーンパンピング（IABP）の禁忌	絶対的禁忌 ・AR ・解離性大動脈瘤、真性大動脈瘤を含む大動脈疾患 相対的禁忌 ・ASOにおける下肢血行障害
子宮体癌の主訴として最も多いのは{{c1::不正性器出血}}である．	
新生児の成熟度判定は主に神経学的所見と外表的所見から判断する．神経学的所見は客観性という面で評価が非常に難しいため，外表的に判断されることが多い．具体的には皮膚，うぶ毛，足底，乳房，眼/耳，外性器などが用いられる．その中で{{c1::うぶ毛}}は成熟に伴って，少なくなる。	
肝内胆管癌は{{c1::低}}エコーを呈することが多い．	
{{c2::ヘルパンギーナ}}は，{{c1::A群コクサッキーウイルス}}による口腔内の{{c1::水疱性発疹}}を特徴とする{{c1::咽頭炎}}である．	
X線所見として、気管支喘息では肋間は{{c1::開大}}し，無気肺では肋間は{{c1::狭小化}}する．	
シアン化合物の解毒薬	亜硝酸アミル、チオ硫酸ナトリウム、亜硝酸ナトリウム、ヒドロキソコバラミン
有機リン中毒の治療	アトロピン、ヨウ化プラリドキシム〈PAM〉
有機リンは{{c1::AchE}}に強く結合し，{{c1::AchE}}の機能を失活させる．	
「基本的動作能力の回復」は{{c1::理学療法士}}が担当	
「応用的動作能力又は社会的適応能力の回復」は{{c1::作業療法士}}が担当	
生活保護の受給資格の判定は{{c1::福祉事務所}}の生活保護の担当者が行う．	
クリニカルシナリオの基準(CS1~CS5)と治療(CS1, CS2, CS3)	if 急性冠症候群: diagnose CS4 elif 右心不全: diagnose CS5elif 収縮期血圧≥140: diagnose CS1 血管拡張薬 elif 収縮期血圧≥100: diagnose CS2 血管拡張薬、利尿薬 else: diagnose CS3 強心薬、輸液、血管収縮薬
子宮内反症は原因に{{c1::臍帯牽引}}や{{c1::胎盤娩出}}があり，激痛と大量の性器出血が起こりショックに陥る．診察では{{c1::双合診}}で子宮底を触知しない．全身麻酔下で{{c1::用手的整復}}を行う．	
睡眠時無呼吸症候群の重症度評価には{{c1::ポリソムノグラフィ}}を用いる。	
新生児のバイタル(HR, RR, BP)	心拍 120~140 呼吸数 40~50 血圧 70/40
乳児のバイタル(HR, RR, BP)	HR 120 RR 30~40 BP 90/60
幼児のバイタル(HR, RR, BP)	HR 100 RR 20~30 BP 100/60
学童のバイタル(HR, RR, BP)	HR 80 RR 18~20 BP 110/60
死因順位5位まで	悪性新生物 心疾患 老衰 脳血管障害 肺炎 脳血管障害と老衰は僅差。グラフ上では老衰が怒涛の追い上げ。
多毛な疾患3つ	Cushing症候群 PCOS 神経性食思不振症
アルドステロンが上がるのは11β, 17α, 21のどれが欠損した時？	17α
アンドロゲンが上がるのは11β, 17α, 21のどれが欠損した時？	11β, 21
地域包括支援センターの運営主体は{{c1::市町村}}である。	
結腸癌のリスク	肉食 飲酒 喫煙 低い身体活動 肥満 高脂肪食
動揺病はいわゆる“{{c1::乗り物酔い}}”であり、{{c1::抗ヒスタミン薬}}が有効である.	
髄外造血の原因疾患	骨髄繊維症 癌の骨髄転移 重篤な慢性貧血
続発性むずむず脚症候群の原因	腎不全 鉄欠乏 妊娠 ↑とりあえずこの三つを覚える あとはパーキンソン、関節リウマチとか
内頸動脈海綿静脈洞瘻の三徴	眼球突出，結膜充血，拍動性雑音
術後性上顎囊胞は{{c1::副鼻腔炎}}に対するCaldwell-Luc手術の後長期間経過して生じる病変である	
重症の再膨張性肺水腫には{{c1::陽圧換気}}を行う。	軽症ならNPPVを選択することもある。
該当する精神科用語は？ またパニック発作が起こるのではないかという不安	予期不安
パニック障害の薬物治療	SSRI
成人のパルボウイルス感染の特徴	・しばしば二峰性の経過をとる・両側の手、足首、膝関節などに関節痛 ・SLEに似ている(抗核抗体陽性、補体低下のケースがある)
MCHCの基準値	30~35%
Plummer-Vinson症候群とは？	鉄欠乏性貧血 + 舌炎・口角炎・嚥下障害
貧血患者の抹消血塗抹標本。所見と診断は？	Howell-Jolly小体と過分葉好中球 巨赤芽球性貧血
再生不良性貧血の重症度分類に用いられる説明変数は？	網赤血球数・好中球数・血小板数 ※診断はHb, 好中球, 血小板
glaucoma	緑内障
マクログロブリン血症（WM）のマクロ（大きな）グロブリンとは，{{c1::5量体}}として存在する{{c1::IgM}}を示している．	
